fecha cer,ARTX213=BA,ARTC213=BA,ART2X13=BA,ART2X23=BA,ARTX223=BA,ARTX233=BA,ARTX243=BA,ARTX263=BA,año,mes,dia,fecha cer,cer index,CLOSE,cer año,cer mes,cer dia
2020-07-17,111.5,351.555,106.0,96.0,104.4,96.35,89.5,,2020,7,17,2020-07-17,2020-07-07,21.8914,2020,7,7
2020-07-20,112.0,352.0,105.9,95.6,104.3,95.5,88.3,,2020,7,20,2020-07-20,2020-07-08,21.9022,2020,7,8
2020-07-21,112.15,353.5,106.0,97.0,105.55,97.1,89.7,,2020,7,21,2020-07-21,2020-07-09,21.9131,2020,7,9
2020-07-22,112.4,354.5,106.4,96.55,106.8,99.2,92.05,,2020,7,22,2020-07-22,2020-07-10,21.924,2020,7,10
2020-07-23,112.75,355.75,106.9,99.0,107.4,99.85,92.5,,2020,7,23,2020-07-23,2020-07-13,21.9566,2020,7,13
2020-07-24,113.05,355.75,107.0,99.5,107.5,100.6,93.5,,2020,7,24,2020-07-24,2020-07-14,21.9675,2020,7,14
2020-07-27,113.4,357.1,107.0,99.5,107.85,101.0,94.1,,2020,7,27,2020-07-27,2020-07-15,21.9784,2020,7,15
2020-07-28,113.5,358.7,107.1,99.5,107.6,101.65,95.15,,2020,7,28,2020-07-28,2020-07-16,21.9939,2020,7,16
2020-07-29,113.9,359.5,107.1,99.95,107.95,101.75,96.1,,2020,7,29,2020-07-29,2020-07-17,22.0093,2020,7,17
2020-07-30,114.9,362.8,107.9,101.9,110.0,105.0,97.75,,2020,7,30,2020-07-30,2020-07-20,22.0557,2020,7,20
2020-07-31,115.75,366.5,109.0,102.8,111.0,106.0,98.5,,2020,7,31,2020-07-31,2020-07-21,22.0712,2020,7,21
2020-08-03,116.45,370.75,110.5,104.0,112.5,107.75,101.4,,2020,8,3,2020-08-03,2020-07-22,22.0867,2020,7,22
2020-08-04,117.3,370.8,110.0,104.0,112.4,108.75,102.75,,2020,8,4,2020-08-04,2020-07-23,22.1022,2020,7,23
2020-08-05,117.9,374.0,110.75,106.65,112.85,110.0,104.3,,2020,8,5,2020-08-05,2020-07-24,22.1177,2020,7,24
2020-08-06,117.7,373.5,111.0,106.25,113.3,110.55,105.75,,2020,8,6,2020-08-06,2020-07-27,22.1644,2020,7,27
2020-08-07,116.7,371.5,110.25,105.9,111.75,109.5,105.35,,2020,8,7,2020-08-07,2020-07-28,22.1799,2020,7,28
2020-08-10,117.25,371.2,110.15,105.5,112.55,108.8,104.65,,2020,8,10,2020-08-10,2020-07-29,22.1955,2020,7,29
2020-08-11,117.6,373.75,110.4,105.75,112.3,109.2,104.85,,2020,8,11,2020-08-11,2020-07-30,22.2111,2020,7,30
2020-08-12,117.35,370.7,110.35,105.1,111.6,107.35,103.0,,2020,8,12,2020-08-12,2020-07-31,22.2267,2020,7,31
2020-08-13,116.55,370.0,110.0,105.0,111.6,105.85,101.95,,2020,8,13,2020-08-13,2020-08-03,22.2736,2020,8,3
2020-08-14,116.1,368.0,111.7,105.55,110.65,104.5,100.4,,2020,8,14,2020-08-14,2020-08-04,22.2892,2020,8,4
2020-08-18,115.3,366.0,110.6,102.5,108.0,101.5,97.0,,2020,8,18,2020-08-18,2020-08-06,22.3205,2020,8,6
2020-08-19,115.9,368.4,110.3,102.0,109.0,103.25,99.0,,2020,8,19,2020-08-19,2020-08-07,22.3362,2020,8,7
2020-08-20,116.8,371.6,111.0,104.0,110.5,103.8,99.9,,2020,8,20,2020-08-20,2020-08-10,22.3833,2020,8,10
2020-08-21,116.8,371.55,110.8,103.5,111.9,106.25,102.35,,2020,8,21,2020-08-21,2020-08-11,22.399,2020,8,11
